scenario_id,title,description,category,priority
access-login-loop,"Cannot sign in (web portal, portal)",My password is accepted but the customer portal keeps returning me to the login page. Reported through support portal for the customer web portal.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (mobile app, portal)",My password is accepted but the customer portal keeps returning me to the login page. Reported through support portal for the mobile application.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (partner integration, portal)",My password is accepted but the customer portal keeps returning me to the login page. Reported through support portal for the partner integration.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (operations console, portal)",My password is accepted but the customer portal keeps returning me to the login page. Reported through support portal for the internal operations console.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (service desk, portal)",My password is accepted but the customer portal keeps returning me to the login page. Reported through support portal for the regional service desk.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (web portal, email)",My password is accepted but the customer portal keeps returning me to the login page. Reported through email for the customer web portal.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (mobile app, email)",My password is accepted but the customer portal keeps returning me to the login page. Reported through email for the mobile application.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (partner integration, email)",My password is accepted but the customer portal keeps returning me to the login page. Reported through email for the partner integration.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (operations console, email)",My password is accepted but the customer portal keeps returning me to the login page. Reported through email for the internal operations console.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (service desk, email)",My password is accepted but the customer portal keeps returning me to the login page. Reported through email for the regional service desk.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (web portal, phone)",My password is accepted but the customer portal keeps returning me to the login page. Reported through telephone for the customer web portal.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (mobile app, phone)",My password is accepted but the customer portal keeps returning me to the login page. Reported through telephone for the mobile application.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (partner integration, phone)",My password is accepted but the customer portal keeps returning me to the login page. Reported through telephone for the partner integration.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (operations console, phone)",My password is accepted but the customer portal keeps returning me to the login page. Reported through telephone for the internal operations console.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (service desk, phone)",My password is accepted but the customer portal keeps returning me to the login page. Reported through telephone for the regional service desk.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (web portal, chat)",My password is accepted but the customer portal keeps returning me to the login page. Reported through live chat for the customer web portal.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (mobile app, chat)",My password is accepted but the customer portal keeps returning me to the login page. Reported through live chat for the mobile application.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (partner integration, chat)",My password is accepted but the customer portal keeps returning me to the login page. Reported through live chat for the partner integration.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (operations console, chat)",My password is accepted but the customer portal keeps returning me to the login page. Reported through live chat for the internal operations console.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (service desk, chat)",My password is accepted but the customer portal keeps returning me to the login page. Reported through live chat for the regional service desk.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (web portal, monitoring)",My password is accepted but the customer portal keeps returning me to the login page. Reported through monitoring alert for the customer web portal.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (mobile app, monitoring)",My password is accepted but the customer portal keeps returning me to the login page. Reported through monitoring alert for the mobile application.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (partner integration, monitoring)",My password is accepted but the customer portal keeps returning me to the login page. Reported through monitoring alert for the partner integration.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (operations console, monitoring)",My password is accepted but the customer portal keeps returning me to the login page. Reported through monitoring alert for the internal operations console.,ACCESS,MEDIUM
access-login-loop,"Cannot sign in (service desk, monitoring)",My password is accepted but the customer portal keeps returning me to the login page. Reported through monitoring alert for the regional service desk.,ACCESS,MEDIUM
access-new-starter,"New starter needs account (web portal, portal)",Please create standard application access for the employee joining next Monday. Reported through support portal for the customer web portal.,ACCESS,LOW
access-new-starter,"New starter needs account (mobile app, portal)",Please create standard application access for the employee joining next Monday. Reported through support portal for the mobile application.,ACCESS,LOW
access-new-starter,"New starter needs account (partner integration, portal)",Please create standard application access for the employee joining next Monday. Reported through support portal for the partner integration.,ACCESS,LOW
access-new-starter,"New starter needs account (operations console, portal)",Please create standard application access for the employee joining next Monday. Reported through support portal for the internal operations console.,ACCESS,LOW
access-new-starter,"New starter needs account (service desk, portal)",Please create standard application access for the employee joining next Monday. Reported through support portal for the regional service desk.,ACCESS,LOW
access-new-starter,"New starter needs account (web portal, email)",Please create standard application access for the employee joining next Monday. Reported through email for the customer web portal.,ACCESS,LOW
access-new-starter,"New starter needs account (mobile app, email)",Please create standard application access for the employee joining next Monday. Reported through email for the mobile application.,ACCESS,LOW
access-new-starter,"New starter needs account (partner integration, email)",Please create standard application access for the employee joining next Monday. Reported through email for the partner integration.,ACCESS,LOW
access-new-starter,"New starter needs account (operations console, email)",Please create standard application access for the employee joining next Monday. Reported through email for the internal operations console.,ACCESS,LOW
access-new-starter,"New starter needs account (service desk, email)",Please create standard application access for the employee joining next Monday. Reported through email for the regional service desk.,ACCESS,LOW
access-new-starter,"New starter needs account (web portal, phone)",Please create standard application access for the employee joining next Monday. Reported through telephone for the customer web portal.,ACCESS,LOW
access-new-starter,"New starter needs account (mobile app, phone)",Please create standard application access for the employee joining next Monday. Reported through telephone for the mobile application.,ACCESS,LOW
access-new-starter,"New starter needs account (partner integration, phone)",Please create standard application access for the employee joining next Monday. Reported through telephone for the partner integration.,ACCESS,LOW
access-new-starter,"New starter needs account (operations console, phone)",Please create standard application access for the employee joining next Monday. Reported through telephone for the internal operations console.,ACCESS,LOW
access-new-starter,"New starter needs account (service desk, phone)",Please create standard application access for the employee joining next Monday. Reported through telephone for the regional service desk.,ACCESS,LOW
access-new-starter,"New starter needs account (web portal, chat)",Please create standard application access for the employee joining next Monday. Reported through live chat for the customer web portal.,ACCESS,LOW
access-new-starter,"New starter needs account (mobile app, chat)",Please create standard application access for the employee joining next Monday. Reported through live chat for the mobile application.,ACCESS,LOW
access-new-starter,"New starter needs account (partner integration, chat)",Please create standard application access for the employee joining next Monday. Reported through live chat for the partner integration.,ACCESS,LOW
access-new-starter,"New starter needs account (operations console, chat)",Please create standard application access for the employee joining next Monday. Reported through live chat for the internal operations console.,ACCESS,LOW
access-new-starter,"New starter needs account (service desk, chat)",Please create standard application access for the employee joining next Monday. Reported through live chat for the regional service desk.,ACCESS,LOW
access-new-starter,"New starter needs account (web portal, monitoring)",Please create standard application access for the employee joining next Monday. Reported through monitoring alert for the customer web portal.,ACCESS,LOW
access-new-starter,"New starter needs account (mobile app, monitoring)",Please create standard application access for the employee joining next Monday. Reported through monitoring alert for the mobile application.,ACCESS,LOW
access-new-starter,"New starter needs account (partner integration, monitoring)",Please create standard application access for the employee joining next Monday. Reported through monitoring alert for the partner integration.,ACCESS,LOW
access-new-starter,"New starter needs account (operations console, monitoring)",Please create standard application access for the employee joining next Monday. Reported through monitoring alert for the internal operations console.,ACCESS,LOW
access-new-starter,"New starter needs account (service desk, monitoring)",Please create standard application access for the employee joining next Monday. Reported through monitoring alert for the regional service desk.,ACCESS,LOW
access-admin-mfa,"Administrator locked out (web portal, portal)",The only production administrator cannot pass multi factor authentication. Reported through support portal for the customer web portal.,ACCESS,HIGH
access-admin-mfa,"Administrator locked out (mobile app, portal)",The only production administrator cannot pass multi factor authentication. Reported through support portal for the mobile application.,ACCESS,HIGH
access-admin-mfa,"Administrator locked out (partner integration, portal)",The only production administrator cannot pass multi factor authentication. Reported through support portal for the partner integration.,ACCESS,HIGH
access-admin-mfa,"Administrator locked out (operations console, portal)",The only production administrator cannot pass multi factor authentication. Reported through support portal for the internal operations console.,ACCESS,HIGH
access-admin-mfa,"Administrator locked out (service desk, portal)",The only production administrator cannot pass multi factor authentication. Reported through support portal for the regional service desk.,ACCESS,HIGH
access-admin-mfa,"Administrator locked out (web portal, email)",The only production administrator cannot pass multi factor authentication. Reported through email for the customer web portal.,ACCESS,HIGH
access-admin-mfa,"Administrator locked out (mobile app, email)",The only production administrator cannot pass multi factor authentication. Reported through email for the mobile application.,ACCESS,HIGH
access-admin-mfa,"Administrator locked out (partner integration, email)",The only production administrator cannot pass multi factor authentication. Reported through email for the partner integration.,ACCESS,HIGH
access-admin-mfa,"Administrator locked out (operations console, email)",The only production administrator cannot pass multi factor authentication. Reported through email for the internal operations console.,ACCESS,HIGH
